category,title,description,rationale,impact,recommendation
System Services,2.2.2 Ensure X Window System is not installed,"The X Window System provides a Graphical User Interface (GUI) where users can have multiple windows in which to run programs and various add on. The X Windows system is typically used on workstations where users login, but not on servers where users typically do not login.","Unless your organization specifically requires graphical login access via X Windows, remove it to reduce the potential attack surface.",,"Run the following command to remove the X Windows System packages:

# yum remove xorg-x11*"
System Services,2.2.3 Ensure Avahi Server is not enabled,"Avahi is a free zeroconf implementation, including a system for multicast DNS/DNS-SD service discovery. Avahi allows programs to publish and discover services and hosts running on a local network with no specific configuration. For example, a user can plug a computer into a network and Avahi automatically finds printers to print to, files to look at and people to talk to, as well as network services running on the machine.",Automatic discovery of network services is not normally required for system functionality. It is recommended to disable the service to reduce the potential attack surface.,,"Run the following command to disable 'avahi-daemon' :

# systemctl disable avahi-daemon"
System Services,2.2.4 Ensure CUPS is not enabled,The Common Unix Print System (CUPS) provides the ability to print to both local and network printers. A system running CUPS can also accept print jobs from remote systems and print them to local printers. It also provides a web based remote administration capability.,"If the system does not need to print jobs or accept print jobs from other systems, it is recommended that CUPS be disabled to reduce the potential attack surface.","Disabling CUPS will prevent printing from the system, a common task for workstation systems.","Run the following command to disable 'cups' :

# systemctl disable cups"
System Services,2.2.5 Ensure DHCP Server is not enabled,The Dynamic Host Configuration Protocol (DHCP) is a service that allows machines to be dynamically assigned IP addresses.,"Unless a system is specifically set up to act as a DHCP server, it is recommended that this service be disabled to reduce the potential attack surface.",,"Run the following command to disable 'dhcpd' :

# systemctl disable dhcpd"
System Services,2.2.6 Ensure LDAP server is not enabled,The Lightweight Directory Access Protocol (LDAP) was introduced as a replacement for NIS/YP. It is a service that provides a method for looking up information from a central database.,"If the system will not need to act as an LDAP server, it is recommended that the software be disabled to reduce the potential attack surface.",,"Run the following command to disable 'slapd' :

# systemctl disable slapd"
System Services,2.2.7 Ensure NFS and RPC are not enabled - nfs,The Network File System (NFS) is one of the first and most widely distributed file systems in the UNIX environment. It provides the ability for systems to mount file systems of other servers through the network.,"If the system does not export NFS shares or act as an NFS client, it is recommended that these services be disabled to reduce remote attack surface.",,"Run the following commands to disable 'nfs', 'nfs-server' and 'rpcbind':

# systemctl disable nfs
# systemctl disable nfs-server
# systemctl disable rpcbind"
System Services,2.2.8 Ensure DNS Server is not enabled,"The Domain Name System (DNS) is a hierarchical naming system that maps names to IP addresses for computers, services and other resources connected to a network.","Unless a system is specifically designated to act as a DNS server, it is recommended that the service be disabled to reduce the potential attack surface.",,"Run the following command to disable 'named' :

# systemctl disable named"
System Services,2.2.9 Ensure FTP Server is not enabled,The File Transfer Protocol (FTP) provides networked computers with the ability to transfer files.,"FTP does not protect the confidentiality of data or authentication credentials. It is recommended sftp be used if file transfer is required. Unless there is a need to run the system as a FTP server (for example, to allow anonymous downloads), it is recommended that the service be disabled to reduce the potential attack surface.",,"Run the following command to disable 'vsftpd' :

# systemctl disable vsftpd"
System Services,2.2.10 Ensure HTTP server is not enabled,HTTP or web servers provide the ability to host web site content.,"Unless there is a need to run the system as a web server, it is recommended that the service be disabled to reduce the potential attack surface.",,"Run the following command to disable 'httpd' :

# systemctl disable httpd"
System Services,2.2.11 Ensure IMAP and POP3 server is not enabled,'dovecot' is an open source IMAP and POP3 server for Linux based systems.,"Unless POP3 and/or IMAP servers are to be provided by this system, it is recommended that the service be disabled to reduce the potential attack surface.",,"Run the following command to disable 'dovecot' :

# systemctl disable dovecot"
System Services,2.2.12 Ensure Samba is not enabled,The Samba daemon allows system administrators to configure their Linux systems to share file systems and directories with Windows desktops. Samba will advertise the file systems and directories via the Small Message Block (SMB) protocol. Windows desktop users will be able to mount these directories and file systems as letter drives on their systems.,"If there is no need to mount directories and file systems to Windows systems, then this service can be disabled to reduce the potential attack surface.",,"Run the following command to disable 'smb' :

# systemctl disable smb"
System Services,2.2.13 Ensure HTTP Proxy Server is not enabled,Squid is a standard proxy server used in many distributions and environments.,"If there is no need for a proxy server, it is recommended that the squid proxy be disabled to reduce the potential attack surface.",,"Run the following command to disable 'squid' :

# systemctl disable squid"
System Services,2.2.14 Ensure SNMP Server is not enabled,"The Simple Network Management Protocol (SNMP) server is used to listen for SNMP commands from an SNMP management system, execute the commands or collect the information and then send results back to the requesting system.","The SNMP server can communicate using SNMP v1, which transmits data in the clear and does not require authentication to execute commands. Unless absolutely necessary, it is recommended that the SNMP service not be used. If SNMP is required the server should be configured to disallow SNMP v1.",,"Run the following command to disable 'snmpd':

# systemctl disable snmpd"
System Services,2.2.15 Ensure mail transfer agent is configured for local-only mode,"Mail Transfer Agents (MTA), such as sendmail and Postfix, are used to listen for incoming mail and transfer the messages to the appropriate user or mail server. If the system is not intended to be a mail server, it is recommended that the MTA be configured to only process local mail.","The software for all Mail Transfer Agents is complex and most have a long history of security issues. While it is important to ensure that the system can process local mail messages, it is not necessary to have the MTA's daemon listening on a port unless the server is intended to be a mail server that receives and processes mail from other systems.",,"Edit '/etc/postfix/main.cf' and add the following line to the RECEIVING MAIL section. If the line already exists, change it to look like the line below:

inet_interfaces = loopback-only

Restart postfix:

# systemctl restart postfix"
System Services,2.2.16 Ensure NIS Server is not enabled,The Network Information Service (NIS) (formally known as Yellow Pages) is a client-server directory service protocol for distributing system configuration files. The NIS server is a collection of programs that allow for the distribution of configuration files.,"The NIS service is inherently an insecure system that has been vulnerable to DOS attacks, buffer overflows and has poor authentication for querying NIS maps. NIS generally been replaced by such protocols as Lightweight Directory Access Protocol (LDAP). It is recommended that the service be disabled and other, more secure services be used",,"Run the following command to disable 'ypserv' :

# systemctl disable ypserv"
System Services,2.2.17 Ensure rsh server is not enabled - rexec,"The Berkeley 'rsh-server' ( 'rsh' , 'rlogin' , 'rexec' ) package contains legacy services that exchange credentials in clear-text.",These legacy services contain numerous security exposures and have been replaced with the more secure SSH package.,,"Run the following commands to disable 'rsh' , 'rlogin' , and 'rexec' :

# systemctl disable rsh.socket
# systemctl disable rlogin.socket
# systemctl disable rexec.socket"
System Services,2.2.18 Ensure talk server is not enabled,The talk software makes it possible for users to send and receive messages across systems through a terminal session. The talk client (allows initiate of talk sessions) is installed by default.,The software presents a security risk as it uses unencrypted protocols for communication.,,"Run the following command to disable talk:

# systemctl disable ntalk"
System Services,2.2.19 Ensure telnet server is not enabled,"The 'telnet-server' package contains the 'telnet' daemon, which accepts connections from users from other systems via the 'telnet' protocol.",The 'telnet' protocol is insecure and unencrypted. The use of an unencrypted transmission medium could allow a user with access to sniff network traffic the ability to steal credentials. The 'ssh' package provides an encrypted session and stronger security.,,"Run the following command to disable telnet:

# systemctl disable telnet.socket"
System Services,2.2.21 Ensure rsync service is not enabled,The 'rsyncd' service can be used to synchronize files between systems over network links.,The 'rsyncd' service presents a security risk as it uses unencrypted protocols for communication.,,"Run the following command to disable 'rsync' :

# systemctl disable rsyncd"
System Services,2.3.1 Ensure NIS Client is not installed,"The Network Information Service (NIS), formerly known as Yellow Pages, is a client-server directory service protocol used to distribute system configuration files. The NIS client ( 'ypbind' ) was used to bind a machine to an NIS server and receive the distributed configuration files.","The NIS service is inherently an insecure system that has been vulnerable to DOS attacks, buffer overflows and has poor authentication for querying NIS maps. NIS generally has been replaced by such protocols as Lightweight Directory Access Protocol (LDAP). It is recommended that the service be removed.",Many insecure service clients are used as troubleshooting tools and in testing environments. Uninstalling them can inhibit capability to test and troubleshoot. If they are required it is advisable to remove the clients after use to prevent accidental or intentional misuse.,"Run the following command to uninstall 'ypbind' :

# yum remove ypbind"
System Services,2.3.2 Ensure rsh client is not installed,The 'rsh' package contains the client commands for the rsh services.,"These legacy clients contain numerous security exposures and have been replaced with the more secure SSH package. Even if the server is removed, it is best to ensure the clients are also removed to prevent users from inadvertently attempting to use these commands and therefore exposing their credentials. Note that removing the 'rsh' package removes the clients for 'rsh' , 'rcp' and 'rlogin' .",Many insecure service clients are used as troubleshooting tools and in testing environments. Uninstalling them can inhibit capability to test and troubleshoot. If they are required it is advisable to remove the clients after use to prevent accidental or intentional misuse.,"Run the following command to uninstall 'rsh' :

# yum remove rsh"
System Services,2.3.3 Ensure talk client is not installed,"The 'talk' software makes it possible for users to send and receive messages across systems through a terminal session. The 'talk' client, which allows initialization of talk sessions, is installed by default.",The software presents a security risk as it uses unencrypted protocols for communication.,Many insecure service clients are used as troubleshooting tools and in testing environments. Uninstalling them can inhibit capability to test and troubleshoot. If they are required it is advisable to remove the clients after use to prevent accidental or intentional misuse.,"Run the following command to uninstall 'talk' :

# yum remove talk"
System Services,2.3.4 Ensure telnet client is not installed,"The 'telnet' package contains the 'telnet' client, which allows users to start connections to other systems via the telnet protocol.",The 'telnet' protocol is insecure and unencrypted. The use of an unencrypted transmission medium could allow an unauthorized user to steal credentials. The 'ssh' package provides an encrypted session and stronger security and is included in most Linux distributions.,Many insecure service clients are used as troubleshooting tools and in testing environments. Uninstalling them can inhibit capability to test and troubleshoot. If they are required it is advisable to remove the clients after use to prevent accidental or intentional misuse.,"Run the following command to uninstall 'telnet' :

# yum remove telnet"
System Services,3.1.1 Ensure IP forwarding is disabled - sysctlc.conf sysctl.d,The 'net.ipv4.ip_forward' flag is used to tell the system whether it can forward packets or not.,"Setting the flag to 0 ensures that a system with multiple interfaces (for example, a hard proxy), will never be able to forward packets, and therefore, never serve as a router.",,"Set the following parameter in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv4.ip_forward = 0

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv4.ip_forward=0
# sysctl -w net.ipv4.route.flush=1"
System Services,3.1.2 Ensure packet redirect sending is disabled - 'net.ipv4.conf.all.send_redirects = 0',"ICMP Redirects are used to send routing information to other hosts. As a host itself does not act as a router (in a host only configuration), there is no need to send redirects.",An attacker could use a compromised host to send invalid ICMP redirects to other router devices in an attempt to corrupt routing and have users access a system set up by the attacker as opposed to a valid system.,,"Set the following parameters in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv4.conf.all.send_redirects = 0
net.ipv4.conf.default.send_redirects = 0

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv4.conf.all.send_redirects=0
# sysctl -w net.ipv4.conf.default.send_redirects=0
# sysctl -w net.ipv4.route.flush=1"
System Services,3.2.1 Ensure source routed packets are not accepted - files 'net.ipv4.conf.all.accept_source_route = 0',"In networking, source routing allows a sender to partially or fully specify the route packets take through a network. In contrast, non-source routed packets travel a path determined by routers in the network. In some cases, systems may not be routable or reachable from some locations (e.g. private addresses vs. Internet routable), and so source routed packets would need to be used.","Setting 'net.ipv4.conf.all.accept_source_route' and 'net.ipv4.conf.default.accept_source_route' to 0 disables the system from accepting source routed packets. Assume this system was capable of routing packets to Internet routable addresses on one interface and private addresses on another interface. Assume that the private addresses were not routable to the Internet routable addresses and vice versa. Under normal routing circumstances, an attacker from the Internet routable addresses could not use the system as a way to reach the private address systems. If, however, source routed packets were allowed, they could be used to gain access to the private address systems as the route could be specified, rather than rely on routing protocols that did not allow this routing.",,"Set the following parameters in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv4.conf.all.accept_source_route = 0
net.ipv4.conf.default.accept_source_route = 0

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv4.conf.all.accept_source_route=0
# sysctl -w net.ipv4.conf.default.accept_source_route=0
# sysctl -w net.ipv4.route.flush=1"
System Services,3.2.2 Ensure ICMP redirects are not accepted - 'net.ipv4.conf.all.accept_redirects = 0',"ICMP redirect messages are packets that convey routing information and tell your host (acting as a router) to send packets via an alternate path. It is a way of allowing an outside routing device to update your system routing tables. By setting 'net.ipv4.conf.all.accept_redirects' to 0, the system will not accept any ICMP redirect messages, and therefore, won't allow outsiders to update the system's routing tables.",Attackers could use bogus ICMP redirect messages to maliciously alter the system routing tables and get them to send packets to incorrect networks and allow your system packets to be captured.,,"Set the following parameters in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv4.conf.all.accept_redirects = 0
net.ipv4.conf.default.accept_redirects = 0

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv4.conf.all.accept_redirects=0
# sysctl -w net.ipv4.conf.default.accept_redirects=0
# sysctl -w net.ipv4.route.flush=1"
System Services,3.2.3 Ensure secure ICMP redirects are not accepted - 'net.ipv4.conf.default.secure_redirects = 0',"Secure ICMP redirects are the same as ICMP redirects, except they come from gateways listed on the default gateway list. It is assumed that these gateways are known to your system, and that they are likely to be secure.",It is still possible for even known gateways to be compromised. Setting 'net.ipv4.conf.all.secure_redirects' to 0 protects the system from routing table updates by possibly compromised known gateways.,,"Set the following parameters in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv4.conf.all.secure_redirects = 0
net.ipv4.conf.default.secure_redirects = 0

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv4.conf.all.secure_redirects=0
# sysctl -w net.ipv4.conf.default.secure_redirects=0
# sysctl -w net.ipv4.route.flush=1"
System Services,3.2.4 Ensure suspicious packets are logged - 'net.ipv4.conf.default.log_martians = 1',"When enabled, this feature logs packets with un-routable source addresses to the kernel log.",Enabling this feature and logging these packets allows an administrator to investigate the possibility that an attacker is sending spoofed packets to their system.,,"Set the following parameters in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv4.conf.all.log_martians = 1
net.ipv4.conf.default.log_martians = 1

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv4.conf.all.log_martians=1
# sysctl -w net.ipv4.conf.default.log_martians=1
# sysctl -w net.ipv4.route.flush=1"
System Services,3.2.5 Ensure broadcast ICMP requests are ignored - sysctl,Setting 'net.ipv4.icmp_echo_ignore_broadcasts' to 1 will cause the system to ignore all ICMP echo and timestamp requests to broadcast and multicast addresses.,"Accepting ICMP echo and timestamp requests with broadcast or multicast destinations for your network could be used to trick your host into starting (or participating) in a Smurf attack. A Smurf attack relies on an attacker sending large amounts of ICMP broadcast messages with a spoofed source address. All hosts receiving this message and responding would send echo-reply messages back to the spoofed address, which is probably not routable. If many hosts respond to the packets, the amount of traffic on the network could be significantly multiplied.",,"Set the following parameter in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv4.icmp_echo_ignore_broadcasts = 1

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv4.icmp_echo_ignore_broadcasts=1
# sysctl -w net.ipv4.route.flush=1"
System Services,3.2.6 Ensure bogus ICMP responses are ignored - sysctl,"Setting 'icmp_ignore_bogus_error_responses' to 1 prevents the kernel from logging bogus responses (RFC-1122 non-compliant) from broadcast reframes, keeping file systems from filling up with useless log messages.",Some routers (and some attackers) will send responses that violate RFC-1122 and attempt to fill up a log file system with many useless error messages.,,"Set the following parameter in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv4.icmp_ignore_bogus_error_responses = 1

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv4.icmp_ignore_bogus_error_responses=1
# sysctl -w net.ipv4.route.flush=1"
System Services,3.2.7 Ensure Reverse Path Filtering is enabled - files 'net.ipv4.conf.all.rp_filter = 1',"Setting 'net.ipv4.conf.all.rp_filter' and 'net.ipv4.conf.default.rp_filter' to 1 forces the Linux kernel to utilize reverse path filtering on a received packet to determine if the packet was valid. Essentially, with reverse path filtering, if the return packet does not go out the same interface that the corresponding source packet came from, the packet is dropped (and logged if 'log_martians' is set).","Setting these flags is a good way to deter attackers from sending your system bogus packets that cannot be responded to. One instance where this feature breaks down is if asymmetrical routing is employed. This would occur when using dynamic routing protocols (bgp, ospf, etc) on your system. If you are using asymmetrical routing on your system, you will not be able to enable this feature without breaking the routing.",,"Set the following parameters in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv4.conf.all.rp_filter = 1
net.ipv4.conf.default.rp_filter = 1

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv4.conf.all.rp_filter=1
# sysctl -w net.ipv4.conf.default.rp_filter=1
# sysctl -w net.ipv4.route.flush=1"
System Services,3.2.8 Ensure TCP SYN Cookies is enabled - sysctl,"When 'tcp_syncookies' is set, the kernel will handle TCP SYN packets normally until the half-open connection queue is full, at which time, the SYN cookie functionality kicks in. SYN cookies work by not using the SYN queue at all. Instead, the kernel simply replies to the SYN with a SYN|ACK, but will include a specially crafted TCP sequence number that encodes the source and destination IP address and port number and the time the packet was sent. A legitimate connection would send the ACK packet of the three way handshake with the specially crafted sequence number. This allows the system to verify that it has received a valid response to a SYN cookie and allow the connection, even though there is no corresponding SYN in the queue.","Attackers use SYN flood attacks to perform a denial of service attacked on a system by sending many SYN packets without completing the three way handshake. This will quickly use up slots in the kernel's half-open connection queue and prevent legitimate connections from succeeding. SYN cookies allow the system to keep accepting valid connections, even if under a denial of service attack.",,"Set the following parameter in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv4.tcp_syncookies = 1

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv4.tcp_syncookies=1
# sysctl -w net.ipv4.route.flush=1"
System Services,3.3.1 Ensure IPv6 router advertisements are not accepted - 'net.ipv6.conf.all.accept_ra = 0',This setting disables the system's ability to accept IPv6 router advertisements.,It is recommended that systems not accept router advertisements as they could be tricked into routing traffic to compromised machines. Setting hard routes within the system (usually a single default route to a trusted router) protects the system from bad routes.,,"Set the following parameters in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv6.conf.all.accept_ra = 0
net.ipv6.conf.default.accept_ra = 0

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv6.conf.all.accept_ra=0
# sysctl -w net.ipv6.conf.default.accept_ra=0
# sysctl -w net.ipv6.route.flush=1"
System Services,3.3.2 Ensure IPv6 redirects are not accepted - files 'net.ipv6.conf.default.accept_redirects = 0',This setting prevents the system from accepting ICMP redirects. ICMP redirects tell the system about alternate routes for sending traffic.,It is recommended that systems not accept ICMP redirects as they could be tricked into routing traffic to compromised machines. Setting hard routes within the system (usually a single default route to a trusted router) protects the system from bad routes.,,"Set the following parameters in '/etc/sysctl.conf' or a '/etc/sysctl.d/*' file:

net.ipv6.conf.all.accept_redirects = 0
net.ipv6.conf.default.accept_redirects = 0

Run the following commands to set the active kernel parameters:

# sysctl -w net.ipv6.conf.all.accept_redirects=0
# sysctl -w net.ipv6.conf.default.accept_redirects=0
# sysctl -w net.ipv6.route.flush=1"
System Services,3.3.3 Ensure IPv6 is disabled,"Although IPv6 has many advantages over IPv4, few organizations have implemented IPv6.","If IPv6 is not to be used, it is recommended that it be disabled to reduce the attack surface of the system.",,"Edit '/etc/default/grub' and remove add 'ipv6.disable=1' to the 'GRUB_CMDLINE_LINUX' parameters:

    GRUB_CMDLINE_LINUX='ipv6.disable=1'

    Run the following command to update the 'grub2' configuration:

    # grub2-mkconfig > /boot/grub2/grub.cfg"
System Services,3.4.1 Ensure TCP Wrappers is installed,"TCP Wrappers provides a simple access list and standardized logging method for services capable of supporting it. In the past, services that were called from 'inetd' and 'xinetd' supported the use of tcp wrappers. As 'inetd' and 'xinetd' have been falling in disuse, any service that can support tcp wrappers will have the 'libwrap.so' library attached to it.","TCP Wrappers provide a good simple access list mechanism to services that may not have that support built in. It is recommended that all services that can support TCP Wrappers, use it.",,"Run the following command to install 'tcp_wrappers' :

# yum install tcp_wrappers"
System Services,3.4.2 Ensure /etc/hosts.allow is configured,The '/etc/hosts.allow' file specifies which IP addresses are permitted to connect to the host. It is intended to be used in conjunction with the '/etc/hosts.deny' file.,The '/etc/hosts.allow' file supports access control by IP and helps ensure that only authorized systems can connect to the system.,,"Run the following command to create '/etc/hosts.allow' :

# echo 'ALL: /, /, ...' >/etc/hosts.allow

where each '/' combination (for example, '192.168.1.0/255.255.255.0') represents one network block in use by your organization that requires access to this system."
System Services,3.4.3 Ensure /etc/hosts.deny is configured,The '/etc/hosts.deny' file specifies which IP addresses are not permitted to connect to the host. It is intended to be used in conjunction with the '/etc/hosts.allow' file.,The '/etc/hosts.deny' file serves as a failsafe so that any host not specified in '/etc/hosts.allow' is denied access to the system.,,"Run the following command to create '/etc/hosts.deny' :

# echo 'ALL: ALL' >> /etc/hosts.deny"
System Services,3.4.4 Ensure permissions on /etc/hosts.allow are configured,The '/etc/hosts.allow' file contains networking information that is used by many applications and therefore must be readable for these applications to operate.,"It is critical to ensure that the '/etc/hosts.allow' file is protected from unauthorized write access. Although it is protected by default, the file permissions could be changed either inadvertently or through malicious actions.",,"Run the following commands to set permissions on '/etc/hosts.allow' :

# chown root:root /etc/hosts.allow
# chmod 644 /etc/hosts.allow"
System Services,3.4.5 Ensure permissions on /etc/hosts.deny are configured,The '/etc/hosts.deny' file contains network information that is used by many system applications and therefore must be readable for these applications to operate.,"It is critical to ensure that the '/etc/hosts.deny' file is protected from unauthorized write access. Although it is protected by default, the file permissions could be changed either inadvertently or through malicious actions.",,"Run the following commands to set permissions on '/etc/hosts.deny' :

# chown root:root /etc/hosts.deny
# chmod 644 /etc/hosts.deny"
System Services,3.5.1 Ensure DCCP is disabled,"The Datagram Congestion Control Protocol (DCCP) is a transport layer protocol that supports streaming media and telephony. DCCP provides a way to gain access to congestion control, without having to do it at the application layer, but does not provide in-sequence delivery.","If the protocol is not required, it is recommended that the drivers not be installed to reduce the potential attack surface.",,"Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install dccp /bin/true"
System Services,3.5.2 Ensure SCTP is disabled,"The Stream Control Transmission Protocol (SCTP) is a transport layer protocol used to support message oriented communication, with several streams of messages in one connection. It serves a similar function as TCP and UDP, incorporating features of both. It is message-oriented like UDP, and ensures reliable in-sequence transport of messages with congestion control like TCP.","If the protocol is not being used, it is recommended that kernel module not be loaded, disabling the service to reduce the potential attack surface.",,"Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install sctp /bin/true"
System Services,3.5.3 Ensure RDS is disabled,"The Reliable Datagram Sockets (RDS) protocol is a transport layer protocol designed to provide low-latency, high-bandwidth communications between cluster nodes. It was developed by the Oracle Corporation.","If the protocol is not being used, it is recommended that kernel module not be loaded, disabling the service to reduce the potential attack surface.",,"Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install rds /bin/true"
System Services,3.5.4 Ensure TIPC is disabled,The Transparent Inter-Process Communication (TIPC) protocol is designed to provide communication between cluster nodes.,"If the protocol is not being used, it is recommended that kernel module not be loaded, disabling the service to reduce the potential attack surface.",,"Edit or create the file '/etc/modprobe.d/CIS.conf' and add the following line:

install tipc /bin/true"
System Services,3.6.1 Ensure iptables is installed,'iptables' allows configuration of the IPv4 tables in the linux kernel and the rules stored within them. Most firewall configuration utilities operate as a front end to 'iptables'.,iptables is required for firewall management and configuration.,,"Run the following command to install 'iptables' :

# yum install iptables"
System Services,3.6.2 Ensure default deny firewall policy - Chain INPUT,A default deny all policy on connections ensures that any unconfigured network usage will be rejected.,With a default accept policy the firewall will accept any packet that is not configured to be denied. It is easier to white list acceptable usage than to black list unacceptable usage.,,"Run the following commands to implement a default DROP policy:

# iptables -P INPUT DROP
# iptables -P OUTPUT DROP
# iptables -P FORWARD DROP"
System Services,3.6.3 Ensure loopback traffic is configured,Configure the loopback interface to accept traffic. Configure all other interfaces to deny traffic to the loopback network (127.0.0.0/8).,"Loopback traffic is generated between processes on machine and is typically critical to operation of the system. The loopback interface is the only place that loopback network (127.0.0.0/8) traffic should be seen, all other interfaces should ignore traffic on this network as an anti-spoofing measure.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",,"Run the following commands to implement the loopback rules:

# iptables -A INPUT -i lo -j ACCEPT
# iptables -A OUTPUT -o lo -j ACCEPT
# iptables -A INPUT -s 127.0.0.0/8 -j DROP"
System Services,3.6.4 Ensure outbound and established connections are configured,"Configure the firewall rules for new outbound, and established connections.","If rules are not in place for new outbound, and established connections all packets will be dropped by the default policy preventing network usage.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",,
System Services,3.6.5 Ensure firewall rules exist for all open ports,Any ports that have been opened on non-loopback addresses need firewall rules to govern traffic.,"Without a firewall rule configured for open ports default firewall policy will drop all packets to these ports.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",,"For each port identified in the audit which does not have a firewall rule establish a proper rule for accepting inbound connections:

# iptables -A INPUT -p  --dport  -m state --state NEW -j ACCEPT"
System Services,3.7 Ensure wireless interfaces are disabled,Wireless networking is used when wired networks are unavailable. Red Hat Enterprise Linux 7 contains a wireless tool kit to allow system administrators to configure and use wireless networks.,"If wireless is not to be used, wireless devices can be disabled to reduce the potential attack surface.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",Many if not all laptop workstations and some desktop workstations will connect via wireless requiring these interfaces be enabled.,"Run the following command to disable any wireless interfaces:

# ip link set  down

Disable any wireless interfaces in your network configuration."
Audit Logging,4.1.1.1 Ensure audit log storage size is configured,"Configure the maximum size of the audit log file. Once the log reaches the maximum size, it will be rotated and a new log file will be started.",It is important that an appropriate size is determined for log files so that they do not impact the system and audit data is not lost.,,"Set the following parameter in '/etc/audit/auditd.conf' in accordance with site policy:

max_log_file ="
Audit Logging,4.1.1.2 Ensure system is disabled when audit logs are full - 'space_left_action = email',The 'auditd' daemon can be configured to halt the system when the audit logs are full.,"In high security contexts, the risk of detecting unauthorized access or nonrepudiation exceeds the benefit of the system's availability.",,"Set the following parameters in '/etc/audit/auditd.conf:'

space_left_action = email
action_mail_acct = root
admin_space_left_action = halt"
Audit Logging,4.1.1.3 Ensure audit logs are not automatically deleted,The 'max_log_file_action' setting determines how to handle the audit log file reaching the max file size. A value of 'keep_logs' will rotate the logs but never delete old logs.,"In high security contexts, the benefits of maintaining a long audit history exceed the cost of storing the audit history.",,"Set the following parameter in '/etc/audit/auditd.conf:'

max_log_file_action = keep_logs"
Audit Logging,4.1.2 Ensure auditd service is enabled,Turn on the 'auditd' daemon to record system events.,The capturing of system events provides system administrators with information to allow them to determine if unauthorized access to their system is occurring.,,"Run the following command to enable 'auditd' :

# systemctl enable auditd"
Audit Logging,4.1.3 Ensure auditing for processes that start prior to auditd is enabled,Configure 'grub' so that processes that are capable of being audited can be audited even if they start up prior to 'auditd' startup.,"Audit events need to be captured on processes that start up prior to 'auditd', so that potential malicious activity cannot go undetected.",,"Edit '/etc/default/grub' and add 'audit=1' to 'GRUB_CMDLINE_LINUX':

GRUB_CMDLINE_LINUX='audit=1'

Run the following command to update the 'grub2' configuration:

# grub2-mkconfig -o /boot/grub2/grub.cfg"
Audit Logging,4.1.4 Ensure events that modify date and time information are collected - auditctl clock_settime (64-bit),"Capture events where the system date and/or time has been modified. The parameters in this section are set to determine if the 'adjtimex' (tune kernel clock), 'settimeofday' (Set time, using timeval and timezone structures) 'stime' (using seconds since 1/1/1970) or 'clock_settime' (allows for the setting of several internal clocks and timers) system calls have been executed and always write an audit record to the '/var/log/audit.log' file upon exit, tagging the records with the identifier 'time-change'",Unexpected changes in system date and/or time could be a sign of malicious activity on the system.,,"For 32 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b32 -S adjtimex -S settimeofday -S stime -k time-change
-a always,exit -F arch=b32 -S clock_settime -k time-change
-w /etc/localtime -p wa -k time-change

For 64 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b64 -S adjtimex -S settimeofday -k time-change
-a always,exit -F arch=b32 -S adjtimex -S settimeofday -S stime -k time-change
-a always,exit -F arch=b64 -S clock_settime -k time-change
-a always,exit -F arch=b32 -S clock_settime -k time-change
-w /etc/localtime -p wa -k time-change"
